date,point,value
20211222,102,10
20211223,102,19
20211224,102,30
20211225,102,18
20211226,102,11
20211227,102,18
20211228,102,31
20211229,102,39
20211230,102,17
20211231,102,18
20220101,102,15
20220102,102,27
20220103,102,23
20220104,102,21
20220105,102,17
20220106,102,30
20220107,102,22
20220108,102,66
20220109,102,46
20220110,102,39
20220111,102,29
20220112,102,14
20220113,102,28
20220114,102,18
20220115,102,29
20220116,102,31
20220117,102,24
20220118,102,20
20220119,102,23
20220120,102,17
20220121,102,24
20220122,102,22
20220123,102,43
20220124,102,48
20220125,102,45
20220126,102,49
20220127,102,26
20220128,102,23
20220129,102,21
20220130,102,15
20220131,102,29
20220201,102,39
20220202,102,15
20220203,102,16
20220204,102,20
20220205,102,26
20220206,102,19
20220207,102,16
20220208,102,19
20220209,102,22
20220210,102,38
20220211,102,67
20220212,102,49
20220213,102,36
20220214,102,45
20220215,-9,-9
20220216,102,25
20220217,102,19
20220218,102,19
20220219,102,26
20220220,102,23
20220221,102,22
20220222,102,23
20220223,102,19
20220224,102,34
20220225,102,62
20220226,102,49
20220227,102,34
20220228,229,21
20220301,201,40
20220302,201,27
20220303,201,38
20220304,102,81
20220305,102,87
20220306,102,32
20220307,102,22
20220308,102,28
20220309,102,26
20220310,102,29
20220311,102,32
20220312,102,49
20220313,102,16
20220314,102,26
20220315,102,29
20220316,102,33
20220317,102,31
20220318,102,15
20220319,102,14
20220320,102,21
20220321,102,23
20220322,102,21
20220323,102,27
20220324,102,41
20220325,102,37
20220326,102,26
20220327,102,26
20220328,102,35
20220329,102,30
20220330,102,23
20220331,102,22
20220401,102,26
20220402,102,26
20220403,102,34
20220404,102,27
20220405,102,31
20220406,102,44
20220407,102,32
20220408,102,36
20220409,102,52
20220410,102,38
20220411,102,27
20220412,232,24
20220413,102,17
20220414,102,17
20220415,102,42
20220416,102,35
20220417,102,36
20220418,102,46
20220419,102,53
20220420,102,32
20220421,102,34
20220422,102,45
20220423,102,27
20220424,102,13
20220425,102,21
20220426,102,37
20220427,102,108
20220428,102,27
20220429,102,32
20220430,102,27
20220501,102,39
20220502,102,34
20220503,102,28
20220504,102,43
20220505,102,26
20220506,102,19
20220507,102,23
20220508,102,25
20220509,102,19
20220510,102,29
20220511,102,14
20220512,102,24
20220513,102,28
20220514,102,24
20220515,102,21
20220516,102,36
20220517,102,37
20220518,102,54
20220519,102,42
20220520,102,28
20220521,102,15
20220522,102,20
20220523,102,23
20220524,102,21
20220525,102,13
20220526,102,32
20220527,102,18
20220528,102,27
20220529,102,19
20220530,102,11
20220531,102,25
20220601,102,25
20220602,102,19
20220603,102,12
20220604,102,18
20220605,102,29
20220606,232,15
20220607,119,25
20220608,102,19
20220609,102,14
20220610,102,14
20220611,102,23
20220612,102,22
20220613,102,21
20220614,102,18
20220615,119,24
20220616,102,15
20220617,102,15
20220618,102,10
20220619,201,15
20220620,102,8
20220621,102,11
20220622,102,16
20220623,102,11
20220624,102,26
20220625,102,25
20220626,102,16
20220627,201,10
20220628,102,29
20220629,201,13
20220630,232,12
20220701,102,10
20220702,102,18
20220703,102,14
20220704,102,30
20220705,102,22
20220706,102,21
20220707,102,26
20220708,102,16
20220709,102,22
20220710,102,16
20220711,102,23
20220712,102,17
20220713,102,13
20220714,201,12
20220715,102,20
20220716,102,17
20220717,102,25
20220718,102,26
20220719,102,22
