지점,지점명,일시,평균상대습도
112,인천,2019-08-18,71.6
112,인천,2019-08-19,70.9
112,인천,2019-08-20,62.8
112,인천,2019-08-21,71.4
112,인천,2019-08-22,74
112,인천,2019-08-23,62.8
112,인천,2019-08-24,68.5
112,인천,2019-08-25,71.9
112,인천,2019-08-26,75.8
112,인천,2019-08-27,76.6
112,인천,2019-08-28,75
112,인천,2019-08-29,79.8
112,인천,2019-08-30,67.5
112,인천,2019-08-31,69.4
112,인천,2019-09-01,73.5
112,인천,2019-09-02,65.8
112,인천,2019-09-03,73.3
112,인천,2019-09-04,91.4
112,인천,2019-09-05,94.4
112,인천,2019-09-06,88.8
112,인천,2019-09-07,80.3
112,인천,2019-09-08,85.8
112,인천,2019-09-09,76.1
112,인천,2019-09-10,95
112,인천,2019-09-11,74
112,인천,2019-09-12,77.5
112,인천,2019-09-13,69.9
112,인천,2019-09-14,86.1
112,인천,2019-09-15,80
112,인천,2019-09-16,60.3
112,인천,2019-09-17,49
112,인천,2019-09-18,49.8
112,인천,2019-09-19,48
112,인천,2019-09-20,55.5
112,인천,2019-09-21,61.6
112,인천,2019-09-22,61.1
112,인천,2019-09-23,53.6
112,인천,2019-09-24,65.5
112,인천,2019-09-25,74.1
112,인천,2019-09-26,61.1
112,인천,2019-09-27,61.3
112,인천,2019-09-28,69.1
112,인천,2019-09-29,75
112,인천,2019-09-30,83.4
112,인천,2019-10-01,77.3
112,인천,2019-10-02,85
112,인천,2019-10-03,72.3
112,인천,2019-10-04,77.9
112,인천,2019-10-05,76.6
112,인천,2019-10-06,60.5
112,인천,2019-10-07,91.9
112,인천,2019-10-08,56.6
112,인천,2019-10-09,45.9
112,인천,2019-10-10,60.8
112,인천,2019-10-11,63.9
112,인천,2019-10-12,52
112,인천,2019-10-13,58.3
112,인천,2019-10-14,57
112,인천,2019-10-15,58.4
112,인천,2019-10-16,67.1
112,인천,2019-10-17,58.8
112,인천,2019-10-18,57.9
112,인천,2019-10-19,69.6
112,인천,2019-10-20,75.8
112,인천,2019-10-21,69
112,인천,2019-10-22,64.4
112,인천,2019-10-23,59.5
112,인천,2019-10-24,54.5
112,인천,2019-10-25,65.6
112,인천,2019-10-26,63
112,인천,2019-10-27,59.1
112,인천,2019-10-28,68.3
112,인천,2019-10-29,53.1
112,인천,2019-10-30,61.4
112,인천,2019-10-31,78.3
112,인천,2019-11-01,52.4
112,인천,2019-11-02,64
112,인천,2019-11-03,59
112,인천,2019-11-04,64.4
112,인천,2019-11-05,70.9
112,인천,2019-11-06,57.6
112,인천,2019-11-07,46
112,인천,2019-11-08,34.4
112,인천,2019-11-09,53
112,인천,2019-11-10,66
112,인천,2019-11-11,72.3
112,인천,2019-11-12,62.1
112,인천,2019-11-13,70.4
112,인천,2019-11-14,39.5
112,인천,2019-11-15,85.6
112,인천,2019-11-16,79.8
112,인천,2019-11-17,84.8
112,인천,2019-11-18,66.3
112,인천,2019-11-19,56.8
112,인천,2019-11-20,38.4
112,인천,2019-11-21,37.3
112,인천,2019-11-22,38.1
112,인천,2019-11-23,61.9
112,인천,2019-11-24,75.9
112,인천,2019-11-25,62.1
112,인천,2019-11-26,68.8
112,인천,2019-11-27,51.5
112,인천,2019-11-28,54.9
112,인천,2019-11-29,42.5
112,인천,2019-11-30,54
112,인천,2019-12-01,77.5
112,인천,2019-12-02,50.4
112,인천,2019-12-03,70.3
112,인천,2019-12-04,50.3
112,인천,2019-12-05,41.9
112,인천,2019-12-06,43
112,인천,2019-12-07,67.9
112,인천,2019-12-08,65.9
112,인천,2019-12-09,66.1
112,인천,2019-12-10,88.9
112,인천,2019-12-11,65.8
112,인천,2019-12-12,49.5
112,인천,2019-12-13,55.6
112,인천,2019-12-14,60.1
112,인천,2019-12-15,62.5
112,인천,2019-12-16,62
112,인천,2019-12-17,82
112,인천,2019-12-18,63.5
112,인천,2019-12-19,54.8
112,인천,2019-12-20,51.4
112,인천,2019-12-21,68.9
112,인천,2019-12-22,71.3
112,인천,2019-12-23,82.3
112,인천,2019-12-24,66.5
112,인천,2019-12-25,64.8
112,인천,2019-12-26,69.1
